L   1	[{"item":2,"quantity":15}]
L10797	[{"item": 22, "quantity": 2}, {"item": 33, "quantity": 94}]
L10798	[{"item": 17, "quantity": 150}]
L10799	[{"item": 25, "quantity": 99}]
L10804	[{"item": 6, "quantity": 100}, {"item": 35, "quantity": 4}, {"item": 17, "quantity": 110}]
L10805	[{"item": 21, "quantity": 10}]
L10806	[{"item": 17, "quantity": 115}, {"item": 32, "quantity": 60}, {"item": 35, "quantity": 24}]
L10807	[{"item": 17, "quantity": 148}]
L10808	[{"item": 21, "quantity": 12}, {"item": 17, "quantity": 12}]
L10812	[{"item": 29, "quantity": 88}, {"item": 17, "quantity": 50}, {"item": 35, "quantity": 40}]
L10814	[{"item": 25, "quantity": 73}]
L10815	[{"item": 26, "quantity": 48}, {"item": 17, "quantity": 88}, {"item": 28, "quantity": 24}]
L10817	[{"item": 2, "quantity": 150}]
L10819	[{"item": 25, "quantity": 125}]
L10821	[{"item": 32, "quantity": 80}]
L10822	[{"item": 19, "quantity": 18}, {"item": 32, "quantity": 32}, {"item": 25, "quantity": 77}]
L10825	[{"item": 2, "quantity": 120}, {"item": 3, "quantity": 120}]
L10828	[{"item": 30, "quantity": 3}, {"item": 25, "quantity": 134}]
L10830	[{"item": 6, "quantity": 42}, {"item": 17, "quantity": 92}]
L10832	[{"item": 6, "quantity": 90}, {"item": 31, "quantity": 90}]
L10835	[{"item": 28, "quantity": 32}]
L10837	[{"item": 20, "quantity": 55}]
L10838	[{"item": 4, "quantity": 100}, {"item": 3, "quantity": 100}, {"item": 35, "quantity": 32}]
L10841	[{"item": 25, "quantity": 50}]
L10844	[{"item": 3, "quantity": 100}]
L10845	[{"item": 3, "quantity": 65}, {"item": 25, "quantity": 55}, {"item": 17, "quantity": 70}]
L10846	[{"item": 17, "quantity": 95}, {"item": 28, "quantity": 60}]
L10849	[{"item": 17, "quantity": 95}, {"item": 29, "quantity": 95}]
L10851	[{"item": 25, "quantity": 39}, {"item": 17, "quantity": 56}]
L10853	[{"item": 29, "quantity": 90}, {"item": 2, "quantity": 30}]
L10855	[{"item": 25, "quantity": 140}, {"item": 17, "quantity": 85}]
L10858	[{"item": 25, "quantity": 88}, {"item": 32, "quantity": 50}]
L10861	[{"item": 17, "quantity": 120}]
L10863	[{"item": 29, "quantity": 40}, {"item": 25, "quantity": 64}]
L10865	[{"item": 25, "quantity": 88}, {"item": 17, "quantity": 49}]
L10867	[{"item": 25, "quantity": 93}, {"item": 26, "quantity": 30}]
L10869	[{"item": 21, "quantity": 10}, {"item": 17, "quantity": 45}]
L10873	[{"item": 24, "quantity": 7}, {"item": 17, "quantity": 61}]
L10875	[{"item": 17, "quantity": 90}, {"item": 24, "quantity": 6}]
L10877	[{"item": 25, "quantity": 91}, {"item": 29, "quantity": 27}, {"item": 37, "quantity": 2}]
L10879	[{"item": 17, "quantity": 84}, {"item": 32, "quantity": 62}]
L10881	[{"item": 29, "quantity": 84}, {"item": 19, "quantity": 29}]
L10882	[{"item": 32, "quantity": 75}]
L10886	[{"item": 17, "quantity": 48}]
L10887	[{"item": 19, "quantity": 34}]
L10889	[{"item": 25, "quantity": 22}, {"item": 17, "quantity": 35}]
L10892	[{"item": 2, "quantity": 65}]
L10894	[{"item": 17, "quantity": 59}, {"item": 29, "quantity": 54}]
L10895	[{"item": 29, "quantity": 74}]
L10897	[{"item": 19, "quantity": 29}, {"item": 26, "quantity": 30}, {"item": 25, "quantity": 28}]
L10900	[{"item": 19, "quantity": 25}]
L10901	[{"item": 25, "quantity": 140}]
L10903	[{"item": 17, "quantity": 45}, {"item": 25, "quantity": 50}]
L10905	[{"item": 4, "quantity": 100}]
L10908	[{"item": 29, "quantity": 24}, {"item": 25, "quantity": 48}, {"item": 21, "quantity": 2}]
L10910	[{"item": 17, "quantity": 48}, {"item": 32, "quantity": 32}]
L10911	[{"item": 32, "quantity": 92}, {"item": 28, "quantity": 37}, {"item": 19, "quantity": 0}]
L10913	[{"item": 17, "quantity": 118}]
L10914	[{"item": 19, "quantity": 11}, {"item": 17, "quantity": 25}]
L10916	[{"item": 25, "quantity": 52}, {"item": 32, "quantity": 33}]
L10918	[{"item": 19, "quantity": 18}, {"item": 32, "quantity": 26}, {"item": 17, "quantity": 40}]
L10919	[{"item": 19, "quantity": 31}, {"item": 28, "quantity": 40}]
L10922	[{"item": 25, "quantity": 80}]
L10923	[{"item": 25, "quantity": 40}]
L10929	[{"item": 19, "quantity": 13}, {"item": 25, "quantity": 99}, {"item": 37, "quantity": 10}]
L10930	[{"item": 17, "quantity": 63}, {"item": 24, "quantity": 4}]
L10933	[{"item": 24, "quantity": 4}, {"item": 25, "quantity": 64}]
L10935	[{"item": 32, "quantity": 82}, {"item": 19, "quantity": 25}]
L10936	[{"item": 25, "quantity": 66}, {"item": 17, "quantity": 37}, {"item": 24, "quantity": 3}]
L10938	[{"item": 29, "quantity": 92}, {"item": 25, "quantity": 68}]
L10940	[{"item": 32, "quantity": 74}, {"item": 19, "quantity": 25}]
L10943	[{"item": 32, "quantity": 38}, {"item": 29, "quantity": 45}]
L10944	[{"item": 17, "quantity": 96}, {"item": 31, "quantity": 28}, {"item": 26, "quantity": 36}]
L10945	[{"item": 22, "quantity": 1}, {"item": 32, "quantity": 27}]
L10947	[{"item": 17, "quantity": 56}, {"item": 25, "quantity": 120}]
L10948	[{"item": 25, "quantity": 55}, {"item": 17, "quantity": 68}]
L10951	[{"item": 32, "quantity": 48}, {"item": 24, "quantity": 10}]
L10952	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 40}]
L10957	[{"item": 31, "quantity": 52}, {"item": 25, "quantity": 28}, {"item": 27, "quantity": 69}]
L10960	[{"item": 19, "quantity": 42}]
L10961	[{"item": 19, "quantity": 30}]
L10964	[{"item": 19, "quantity": 1}, {"item": 37, "quantity": 5}, {"item": 34, "quantity": 5}]
L10966	[{"item": 17, "quantity": 51}, {"item": 24, "quantity": 2}]
L10967	[{"item": 31, "quantity": 49}, {"item": 19, "quantity": 21}]
L10970	[{"item": 19, "quantity": 33}]
L10973	[{"item": 25, "quantity": 90}]
L10976	[{"item": 20, "quantity": 250}]
L10977	[{"item": 25, "quantity": 80}, {"item": 22, "quantity": 2}]
L10978	[{"item": 29, "quantity": 80}]
L10981	[{"item": 32, "quantity": 60}, {"item": 2, "quantity": 100}, {"item": 5, "quantity": 100}]
L10983	[{"item": 17, "quantity": 53}, {"item": 29, "quantity": 12}]
L10984	[{"item": 25, "quantity": 95}]
L10988	[{"item": 17, "quantity": 34}]
L10990	[{"item": 25, "quantity": 45}, {"item": 19, "quantity": 26}]
L10993	[{"item": 6, "quantity": 20}]
L10994	[{"item": 25, "quantity": 72}, {"item": 34, "quantity": 5}]
L10995	[{"item": 17, "quantity": 95}, {"item": 30, "quantity": 1}, {"item": 35, "quantity": 8}]
L10999	[{"item": 25, "quantity": 160}]
L11000	[{"item": 29, "quantity": 75}]
L11004	[{"item": 25, "quantity": 62}]
L11005	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 16}, {"item": 25, "quantity": 115}]
L11007	[{"item": 17, "quantity": 73}, {"item": 25, "quantity": 50}]
L11008	[{"item": 17, "quantity": 140}, {"item": 24, "quantity": 3}]
L11009	[{"item": 17, "quantity": 92}, {"item": 26, "quantity": 36}]
L11014	[{"item": 32, "quantity": 83}, {"item": 17, "quantity": 40}]
L11016	[{"item": 17, "quantity": 56}, {"item": 18, "quantity": 2}]
L11017	[{"item": 29, "quantity": 92}, {"item": 25, "quantity": 95}]
L11020	[{"item": 25, "quantity": 72}, {"item": 29, "quantity": 73}]
L11025	[{"item": 17, "quantity": 58}, {"item": 19, "quantity": 12}]
L11027	[{"item": 29, "quantity": 40}]
L11029	[{"item": 17, "quantity": 69}, {"item": 19, "quantity": 26}]
L11033	[{"item": 17, "quantity": 56}, {"item": 34, "quantity": 5}]
L11034	[{"item": 19, "quantity": 31}, {"item": 25, "quantity": 22}]
L11036	[{"item": 3, "quantity": 45}, {"item": 25, "quantity": 53}]
L11038	[{"item": 25, "quantity": 62}]
L11041	[{"item": 29, "quantity": 159}]
L11043	[{"item": 24, "quantity": 9}, {"item": 19, "quantity": 26}]
L11048	[{"item": 29, "quantity": 104}, {"item": 17, "quantity": 65}]
L11050	[{"item": 25, "quantity": 106}, {"item": 24, "quantity": 6}]
L11051	[{"item": 17, "quantity": 43}, {"item": 25, "quantity": 65}]
L11052	[{"item": 26, "quantity": 46}, {"item": 29, "quantity": 70}, {"item": 33, "quantity": 57}]
L11055	[{"item": 25, "quantity": 100}, {"item": 20, "quantity": 75}]
L11056	[{"item": 25, "quantity": 120}]
L11059	[{"item": 17, "quantity": 82}]
L11060	[{"item": 29, "quantity": 70}, {"item": 25, "quantity": 30}]
L11061	[{"item": 25, "quantity": 5}, {"item": 32, "quantity": 27}]
L11062	[{"item": 17, "quantity": 136}]
L11063	[{"item": 17, "quantity": 75}]
L11064	[{"item": 17, "quantity": 85}]
L11065	[{"item": 25, "quantity": 101}, {"item": 32, "quantity": 29}, {"item": 24, "quantity": 4}]
L11066	[{"item": 25, "quantity": 85}]
L11067	[{"item": 5, "quantity": 75}]
L11068	[{"item": 25, "quantity": 44}]
L11069	[{"item": 22, "quantity": 2}, {"item": 30, "quantity": 1}, {"item": 17, "quantity": 112}]
L11070	[{"item": 1, "quantity": 30}, {"item": 25, "quantity": 102}]
L11071	[{"item": 25, "quantity": 114}, {"item": 18, "quantity": 3}]
L11072	[{"item": 32, "quantity": 24}, {"item": 17, "quantity": 51}]
L11073	[{"item": 2, "quantity": 40}, {"item": 3, "quantity": 40}, {"item": 17, "quantity": 55}]
L11074	[{"item": 17, "quantity": 52}]
L11075	[{"item": 34, "quantity": 5}, {"item": 29, "quantity": 50}]
L11077	[{"item": 17, "quantity": 98}]
L11079	[{"item": 17, "quantity": 87}, {"item": 29, "quantity": 87}]
L11081	[{"item": 17, "quantity": 43}, {"item": 29, "quantity": 130}]
L11082	[{"item": 19, "quantity": 30}, {"item": 30, "quantity": 1}]
L11084	[{"item": 25, "quantity": 45}, {"item": 22, "quantity": 2}]
L11086	[{"item": 25, "quantity": 70}, {"item": 26, "quantity": 60}]
L11087	[{"item": 32, "quantity": 124}, {"item": 19, "quantity": 22}, {"item": 25, "quantity": 40}]
L11088	[{"item": 24, "quantity": 8}, {"item": 32, "quantity": 66}]
L11090	[{"item": 37, "quantity": 4}, {"item": 17, "quantity": 246}, {"item": 33, "quantity": 155}]
L11091	[{"item": 32, "quantity": 12}, {"item": 24, "quantity": 1}]
L11092	[{"item": 27, "quantity": 95}, {"item": 29, "quantity": 160}]
L11093	[{"item": 35, "quantity": 24}, {"item": 17, "quantity": 118}]
L11094	[{"item": 17, "quantity": 144}, {"item": 30, "quantity": 6}]
L11095	[{"item": 32, "quantity": 60}]
L11096	[{"item": 34, "quantity": 5}, {"item": 30, "quantity": 1}]
L11097	[{"item": 2, "quantity": 20}, {"item": 3, "quantity": 20}, {"item": 5, "quantity": 40}]
L11098	[{"item": 30, "quantity": 10}, {"item": 32, "quantity": 195}]
L11099	[{"item": 29, "quantity": 80}, {"item": 32, "quantity": 90}]
L11100	[{"item": 17, "quantity": 53}, {"item": 25, "quantity": 100}]
L11101	[{"item": 17, "quantity": 98}, {"item": 25, "quantity": 75}]
L11102	[{"item": 25, "quantity": 65}]
L11103	[{"item": 25, "quantity": 48}, {"item": 29, "quantity": 48}]
L11104	[{"item": 29, "quantity": 109}, {"item": 33, "quantity": 102}, {"item": 32, "quantity": 35}]
L11105	[{"item": 34, "quantity": 5}, {"item": 25, "quantity": 37}]
L11107	[{"item": 25, "quantity": 110}]
L11109	[{"item": 19, "quantity": 28}, {"item": 25, "quantity": 28}]
L11113	[{"item": 32, "quantity": 32}, {"item": 29, "quantity": 49}]
L11114	[{"item": 32, "quantity": 65}, {"item": 37, "quantity": 5}]
L11115	[{"item": 29, "quantity": 20}, {"item": 25, "quantity": 40}]
L11117	[{"item": 25, "quantity": 111}]
L11120	[{"item": 32, "quantity": 40}, {"item": 17, "quantity": 128}]
L11121	[{"item": 33, "quantity": 96}, {"item": 26, "quantity": 25}, {"item": 29, "quantity": 66}]
L11122	[{"item": 32, "quantity": 87}, {"item": 17, "quantity": 42}]
L11124	[{"item": 25, "quantity": 56}, {"item": 32, "quantity": 48}]
L11125	[{"item": 25, "quantity": 48}, {"item": 24, "quantity": 9}]
L11128	[{"item": 17, "quantity": 65}, {"item": 25, "quantity": 30}]
L11131	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 78}, {"item": 17, "quantity": 64}]
L11133	[{"item": 29, "quantity": 4}, {"item": 32, "quantity": 140}]
L11135	[{"item": 17, "quantity": 116}]
L11136	[{"item": 25, "quantity": 76}]
L11137	[{"item": 29, "quantity": 130}, {"item": 25, "quantity": 70}]
L11138	[{"item": 17, "quantity": 77}]
L11139	[{"item": 25, "quantity": 50}, {"item": 1, "quantity": 150}]
L11143	[{"item": 25, "quantity": 100}]
L11144	[{"item": 25, "quantity": 70}, {"item": 17, "quantity": 45}]
L11149	[{"item": 25, "quantity": 36}, {"item": 29, "quantity": 76}]
L11154	[{"item": 32, "quantity": 50}, {"item": 25, "quantity": 64}, {"item": 29, "quantity": 35}]
L11155	[{"item": 17, "quantity": 65}, {"item": 24, "quantity": 1}]
L11158	[{"item": 24, "quantity": 4}, {"item": 17, "quantity": 64}]
L11160	[{"item": 17, "quantity": 114}, {"item": 25, "quantity": 14}, {"item": 19, "quantity": 8}]
L11161	[{"item": 17, "quantity": 89}]
L11164	[{"item": 17, "quantity": 70}, {"item": 29, "quantity": 40}, {"item": 26, "quantity": 30}]
L11167	[{"item": 25, "quantity": 58}, {"item": 29, "quantity": 58}]
L11171	[{"item": 3, "quantity": 90}]
L11172	[{"item": 19, "quantity": 4}]
L11174	[{"item": 25, "quantity": 5}]
L11177	[{"item": 25, "quantity": 90}, {"item": 35, "quantity": 4}]
L11179	[{"item": 29, "quantity": 92}]
L11181	[{"item": 25, "quantity": 65}, {"item": 26, "quantity": 48}]
L11182	[{"item": 17, "quantity": 81}]
L11186	[{"item": 17, "quantity": 77}]
L11187	[{"item": 24, "quantity": 1}, {"item": 25, "quantity": 58}, {"item": 29, "quantity": 32}]
L11191	[{"item": 25, "quantity": 100}, {"item": 26, "quantity": 48}]
L11192	[{"item": 19, "quantity": 27}, {"item": 22, "quantity": 2}, {"item": 25, "quantity": 28}]
L11194	[{"item": 17, "quantity": 83}, {"item": 25, "quantity": 53}]
L11196	[{"item": 32, "quantity": 68}, {"item": 17, "quantity": 30}, {"item": 29, "quantity": 76}]
L11198	[{"item": 17, "quantity": 33}]
L11200	[{"item": 19, "quantity": 35}]
L11201	[{"item": 17, "quantity": 32}, {"item": 19, "quantity": 12}]
L11203	[{"item": 17, "quantity": 99}, {"item": 25, "quantity": 50}]
L11205	[{"item": 19, "quantity": 30}, {"item": 17, "quantity": 84}]
L11206	[{"item": 29, "quantity": 29}]
L11207	[{"item": 32, "quantity": 20}]
L11210	[{"item": 8, "quantity": 15}]
L11213	[{"item": 25, "quantity": 80}]
L11214	[{"item": 17, "quantity": 52}, {"item": 29, "quantity": 84}]
L11218	[{"item": 25, "quantity": 56}]
L11221	[{"item": 25, "quantity": 105}]
L11222	[{"item": 29, "quantity": 30}, {"item": 8, "quantity": 10}, {"item": 17, "quantity": 41}]
L11223	[{"item": 22, "quantity": 3}]
L11225	[{"item": 29, "quantity": 52}, {"item": 16, "quantity": 13}, {"item": 19, "quantity": 12}]
L11227	[{"item": 32, "quantity": 119}]
L11230	[{"item": 25, "quantity": 70}, {"item": 32, "quantity": 50}]
L11232	[{"item": 29, "quantity": 60}, {"item": 19, "quantity": 9}]
L11233	[{"item": 32, "quantity": 113}]
L11234	[{"item": 29, "quantity": 48}, {"item": 25, "quantity": 61}]
L11236	[{"item": 25, "quantity": 116}, {"item": 32, "quantity": 21}]
L11237	[{"item": 10, "quantity": 4}]
L11242	[{"item": 25, "quantity": 75}]
L11243	[{"item": 17, "quantity": 93}, {"item": 24, "quantity": 3}, {"item": 20, "quantity": 13}]
L11245	[{"item": 26, "quantity": 50}, {"item": 29, "quantity": 46}]
L11248	[{"item": 17, "quantity": 71}, {"item": 19, "quantity": 33}]
L11251	[{"item": 17, "quantity": 49}, {"item": 25, "quantity": 60}]
L11253	[{"item": 25, "quantity": 115}, {"item": 35, "quantity": 32}]
L11255	[{"item": 25, "quantity": 42}, {"item": 32, "quantity": 81}]
L11257	[{"item": 19, "quantity": 9}, {"item": 17, "quantity": 69}, {"item": 25, "quantity": 45}]
L11260	[{"item": 29, "quantity": 65}, {"item": 22, "quantity": 2}]
L11262	[{"item": 25, "quantity": 124}, {"item": 32, "quantity": 40}]
L11264	[{"item": 32, "quantity": 80}, {"item": 25, "quantity": 35}]
L11266	[{"item": 25, "quantity": 129}]
L11267	[{"item": 25, "quantity": 15}, {"item": 32, "quantity": 74}]
L11270	[{"item": 32, "quantity": 57}, {"item": 25, "quantity": 57}]
L11272	[{"item": 32, "quantity": 40}, {"item": 17, "quantity": 60}, {"item": 25, "quantity": 80}]
L11275	[{"item": 17, "quantity": 127}, {"item": 19, "quantity": 6}]
L11277	[{"item": 25, "quantity": 25}, {"item": 19, "quantity": 35}, {"item": 26, "quantity": 46}]
L11278	[{"item": 17, "quantity": 131}]
L11282	[{"item": 17, "quantity": 36}, {"item": 25, "quantity": 39}, {"item": 32, "quantity": 36}]
L11284	[{"item": 25, "quantity": 96}, {"item": 32, "quantity": 63}]
L11285	[{"item": 29, "quantity": 88}, {"item": 19, "quantity": 24}]
L11286	[{"item": 17, "quantity": 94}, {"item": 27, "quantity": 30}, {"item": 33, "quantity": 30}]
L11290	[{"item": 24, "quantity": 2}, {"item": 17, "quantity": 56}]
L11291	[{"item": 25, "quantity": 100}]
L11293	[{"item": 18, "quantity": 6}, {"item": 17, "quantity": 104}]
L11295	[{"item": 17, "quantity": 59}]
L11296	[{"item": 3, "quantity": 160}]
L11297	[{"item": 8, "quantity": 15}]
L11300	[{"item": 19, "quantity": 21}, {"item": 35, "quantity": 6}]
L11301	[{"item": 25, "quantity": 90}, {"item": 24, "quantity": 8}]
L11303	[{"item": 26, "quantity": 72}]
L11305	[{"item": 32, "quantity": 44}]
L11306	[{"item": 29, "quantity": 74}]
L11308	[{"item": 29, "quantity": 40}, {"item": 17, "quantity": 53}]
L11309	[{"item": 16, "quantity": 14}, {"item": 17, "quantity": 40}]
L11310	[{"item": 32, "quantity": 32}, {"item": 26, "quantity": 16}]
L11311	[{"item": 3, "quantity": 20}]
L11312	[{"item": 19, "quantity": 10}]
L11315	[{"item": 7, "quantity": 20}, {"item": 17, "quantity": 100}]
L11318	[{"item": 35, "quantity": 12}, {"item": 18, "quantity": 7}]
L11320	[{"item": 24, "quantity": 2}, {"item": 25, "quantity": 128}]
L11322	[{"item": 29, "quantity": 48}, {"item": 17, "quantity": 49}]
L11323	[{"item": 26, "quantity": 30}, {"item": 19, "quantity": 19}]
L11324	[{"item": 16, "quantity": 20}]
L11326	[{"item": 25, "quantity": 45}]
L11327	[{"item": 32, "quantity": 72}, {"item": 17, "quantity": 136}]
L11328	[{"item": 19, "quantity": 24}]
L11330	[{"item": 25, "quantity": 25}, {"item": 7, "quantity": 10}]
L11332	[{"item": 29, "quantity": 100}]
L11333	[{"item": 25, "quantity": 90}]
L11335	[{"item": 25, "quantity": 103}, {"item": 17, "quantity": 36}]
L11339	[{"item": 25, "quantity": 140}, {"item": 30, "quantity": 4}, {"item": 17, "quantity": 11}]
L11340	[{"item": 31, "quantity": 78}, {"item": 5, "quantity": 90}]
L11343	[{"item": 19, "quantity": 18}]
L11344	[{"item": 17, "quantity": 77}, {"item": 32, "quantity": 50}]
L11346	[{"item": 5, "quantity": 30}, {"item": 29, "quantity": 133}]
L11348	[{"item": 19, "quantity": 32}, {"item": 25, "quantity": 42}]
L11351	[{"item": 24, "quantity": 3}, {"item": 33, "quantity": 92}]
L11353	[{"item": 29, "quantity": 72}, {"item": 25, "quantity": 66}]
L11355	[{"item": 17, "quantity": 94}]
L11356	[{"item": 17, "quantity": 25}, {"item": 25, "quantity": 72}]
L11360	[{"item": 1, "quantity": 10}, {"item": 33, "quantity": 60}, {"item": 26, "quantity": 98}]
L11362	[{"item": 25, "quantity": 130}, {"item": 17, "quantity": 106}]
L11364	[{"item": 29, "quantity": 111}, {"item": 32, "quantity": 63}]
L11365	[{"item": 19, "quantity": 25}, {"item": 17, "quantity": 16}]
L11368	[{"item": 25, "quantity": 66}, {"item": 19, "quantity": 19}, {"item": 29, "quantity": 24}]
L11371	[{"item": 25, "quantity": 90}, {"item": 35, "quantity": 16}]
L11375	[{"item": 25, "quantity": 83}, {"item": 33, "quantity": 40}]
L11376	[{"item": 7, "quantity": 16}]
L11378	[{"item": 3, "quantity": 100}]
L11379	[{"item": 29, "quantity": 96}]
L11382	[{"item": 26, "quantity": 110}, {"item": 4, "quantity": 75}, {"item": 1, "quantity": 75}]
L11383	[{"item": 21, "quantity": 5}]
L11386	[{"item": 2, "quantity": 50}, {"item": 6, "quantity": 50}]
L11389	[{"item": 3, "quantity": 75}]
L11390	[{"item": 17, "quantity": 20}, {"item": 5, "quantity": 200}]
L11392	[{"item": 17, "quantity": 82}, {"item": 29, "quantity": 66}]
L11394	[{"item": 32, "quantity": 27}, {"item": 25, "quantity": 108}]
L11395	[{"item": 17, "quantity": 88}, {"item": 29, "quantity": 62}]
L11397	[{"item": 17, "quantity": 127}, {"item": 19, "quantity": 25}]
L11400	[{"item": 35, "quantity": 12}, {"item": 33, "quantity": 21}]
L11401	[{"item": 24, "quantity": 3}, {"item": 32, "quantity": 85}, {"item": 25, "quantity": 125}]
L11405	[{"item": 17, "quantity": 34}, {"item": 25, "quantity": 36}, {"item": 19, "quantity": 11}]
L11409	[{"item": 32, "quantity": 55}, {"item": 17, "quantity": 92}]
L11410	[{"item": 19, "quantity": 20}, {"item": 29, "quantity": 54}]
L11411	[{"item": 17, "quantity": 110}]
L11414	[{"item": 19, "quantity": 90}]
L11417	[{"item": 22, "quantity": 2}, {"item": 17, "quantity": 73}, {"item": 25, "quantity": 70}]
L11418	[{"item": 19, "quantity": 25}, {"item": 25, "quantity": 40}]
L11420	[{"item": 3, "quantity": 15}, {"item": 25, "quantity": 45}]
L11421	[{"item":38,"quantity":4},{"item":17,"quantity":84}]
L11422	[{"item": 38, "quantity": 3}, {"item": 25, "quantity": 32}]
L11426	[{"item": 25, "quantity": 166}]
L11427	[{"item": 25, "quantity": 12}, {"item": 17, "quantity": 45}]
L11429	[{"item": 25, "quantity": 26}]
L11430	[{"item": 32, "quantity": 92}, {"item": 17, "quantity": 89}]
L11432	[{"item": 28, "quantity": 42}, {"item": 38, "quantity": 4}, {"item": 25, "quantity": 60}]
L11435	[{"item": 17, "quantity": 70}]
L11440	[{"item": 25, "quantity": 12}]
L11441	[{"item": 25, "quantity": 82}]
L11442	[{"item": 38, "quantity": 8}, {"item": 27, "quantity": 60}, {"item": 33, "quantity": 60}]
L11445	[{"item": 17, "quantity": 89}, {"item": 32, "quantity": 40}]
L11446	[{"item": 38, "quantity": 7}]
L11448	[{"item": 17, "quantity": 20}, {"item": 34, "quantity": 5}]
L11450	[{"item": 25, "quantity": 72}]
L11453	[{"item": 25, "quantity": 120}, {"item": 30, "quantity": 5}]
L11455	[{"item": 38, "quantity": 6}, {"item": 25, "quantity": 30}]
L11456	[{"item": 26, "quantity": 63}]
L11459	[{"item": 38, "quantity": 4}, {"item": 25, "quantity": 106}]
L11462	[{"item": 25, "quantity": 95}]
L11463	[{"item": 21, "quantity": 20}]
L11465	[{"item": 33, "quantity": 124}]
L11467	[{"item": 32, "quantity": 132}]
L11468	[{"item": 25, "quantity": 72}, {"item": 30, "quantity": 1}]
L11470	[{"item": 32, "quantity": 64}]
L11471	[{"item": 25, "quantity": 80}]
L11472	[{"item": 1, "quantity": 120}, {"item": 22, "quantity": 2}]
L11474	[{"item": 25, "quantity": 126}]
L11476	[{"item": 3, "quantity": 150}]
L11477	[{"item": 38, "quantity": 6}, {"item": 26, "quantity": 43}]
L11479	[{"item": 25, "quantity": 110}]
L11481	[{"item": 25, "quantity": 175}, {"item": 31, "quantity": 150}, {"item": 18, "quantity": 4}]
L11485	[{"item": 17, "quantity": 88}, {"item": 29, "quantity": 60}]
L11486	[{"item": 22, "quantity": 1}, {"item": 25, "quantity": 67}]
L11488	[{"item": 25, "quantity": 96}, {"item": 24, "quantity": 2}]
L11490	[{"item": 29, "quantity": 48}, {"item": 32, "quantity": 117}]
L11491	[{"item": 17, "quantity": 42}, {"item": 25, "quantity": 130}]
L11495	[{"item": 29, "quantity": 70}, {"item": 25, "quantity": 56}]
L11498	[{"item": 22, "quantity": 2}, {"item": 17, "quantity": 88}]
L11500	[{"item": 17, "quantity": 109}, {"item": 3, "quantity": 8}, {"item": 1, "quantity": 8}]
L11503	[{"item": 17, "quantity": 14}, {"item": 25, "quantity": 106}]
L11504	[{"item": 25, "quantity": 72}]
L11506	[{"item": 25, "quantity": 103}, {"item": 35, "quantity": 36}]
L11507	[{"item": 32, "quantity": 82}, {"item": 29, "quantity": 88}, {"item": 24, "quantity": 2}]
L11508	[{"item": 22, "quantity": 2}, {"item": 19, "quantity": 12}]
L11510	[{"item": 17, "quantity": 112}, {"item": 19, "quantity": 13}]
L11511	[{"item": 37, "quantity": 3}]
L11513	[{"item": 25, "quantity": 25}]
L11515	[{"item": 17, "quantity": 38}, {"item": 25, "quantity": 36}]
L11516	[{"item": 34, "quantity": 5}]
L11517	[{"item": 17, "quantity": 80}]
L11519	[{"item": 25, "quantity": 88}, {"item": 32, "quantity": 10}]
L11522	[{"item": 25, "quantity": 21}, {"item": 17, "quantity": 14}, {"item": 30, "quantity": 1}]
L11525	[{"item": 29, "quantity": 75}]
L11526	[{"item": 25, "quantity": 63}, {"item": 35, "quantity": 10}]
L11529	[{"item": 30, "quantity": 1}, {"item": 17, "quantity": 60}]
L11531	[{"item": 5, "quantity": 100}, {"item": 3, "quantity": 100}]
L11533	[{"item": 32, "quantity": 35}, {"item": 35, "quantity": 4}]
L11534	[{"item": 17, "quantity": 24}]
L11536	[{"item": 17, "quantity": 67}]
L11537	[{"item": 32, "quantity": 52}]
L11540	[{"item": 37, "quantity": 2}, {"item": 34, "quantity": 5}]
L11542	[{"item": 17, "quantity": 109}, {"item": 25, "quantity": 66}]
L11544	[{"item": 17, "quantity": 51}, {"item": 25, "quantity": 60}]
L11545	[{"item": 25, "quantity": 48}, {"item": 32, "quantity": 52}]
L11549	[{"item": 19, "quantity": 32}, {"item": 29, "quantity": 80}]
L11551	[{"item": 25, "quantity": 88}, {"item": 17, "quantity": 53}, {"item": 18, "quantity": 6}]
L11555	[{"item": 17, "quantity": 54}, {"item": 29, "quantity": 65}, {"item": 25, "quantity": 52}]
L11559	[{"item": 17, "quantity": 154}, {"item": 22, "quantity": 2}, {"item": 28, "quantity": 46}]
L11560	[{"item": 25, "quantity": 112}]
L11561	[{"item": 32, "quantity": 46}, {"item": 19, "quantity": 18}]
L11564	[{"item": 25, "quantity": 46}, {"item": 34, "quantity": 5}, {"item": 24, "quantity": 2}]
L11567	[{"item": 29, "quantity": 80}, {"item": 25, "quantity": 44}, {"item": 31, "quantity": 43}]
L11568	[{"item": 1, "quantity": 55}]
L11570	[{"item": 38, "quantity": 1}]
L11572	[{"item": 26, "quantity": 29}, {"item": 25, "quantity": 60}]
L11574	[{"item": 29, "quantity": 130}, {"item": 3, "quantity": 75}]
L11575	[{"item": 19, "quantity": 32}]
L11576	[{"item": 29, "quantity": 20}]
L11579	[{"item": 6, "quantity": 60}, {"item": 5, "quantity": 60}, {"item": 3, "quantity": 60}]
