L  17	[0,4]
L10477	[0, 2]
L10478	[0, 6]
L10481	[0, 2]
L10485	[0, 2]
L10486	[0, 8]
L10488	[0, 3]
L10494	[0, 6]
L10499	[0, 4]
L10500	[0, 5]
L10502	[0, 4]
L10504	[0, 6]
L10507	[0, 3]
L10509	[0, 5]
L10514	[0, 3]
L10515	[0, 2]
L10518	[0, 5]
L10524	[0, 31]
L10525	[0, 2]
L10526	[0, 14]
L10530	[0, 4]
L10532	[0, 2]
L10535	[0, 4]
L10536	[0, 5]
L10539	[0, 3]
L10543	[0, 2]
L10544	[0, 8]
L10545	[0, 4]
L10550	[0, 3]
L10554	[0, 12]
L10555	[0, 8]
L10558	[0, 12]
L10560	[0, 3]
L10562	[0, 8]
L10563	[0, 1]
L10565	[0, 2]
L10567	[0, 7]
L10568	[0, 6]
L10571	[0, 2]
L10573	[0, 4]
L10575	[0, 2]
L10580	[0, 1]
L10582	[0, 4]
L10583	[0, 4]
L10586	[0, 8]
L10590	[0, 9]
L10591	[0, 5]
L10596	[0, 7]
L10599	[0, 3]
L10600	[0, 1]
L10603	[0, 5]
L10606	[0, 3]
L10607	[0, 10]
L10614	[0, 7]
L10615	[0, 4]
L10616	[0, 16]
L10620	[0, 3]
L10621	[0, 6]
L10627	[0, 4]
L10628	[0, 4]
L10632	[0, 2]
L10635	[0, 2]
L10636	[0, 1]
L10638	[0, 3]
L10640	[0, 5]
L10644	[0, 15]
L10645	[0, 12]
L10648	[0, 12]
L10650	[0, 5]
L10652	[0, 4]
L10653	[0, 2]
L10657	[0, 4]
L10662	[0, 17]
L10664	[0, 12]
L10668	[0, 37]
L10673	[0, 2]
L10675	[0, 5]
L10677	[0, 2]
L10679	[0, 7]
L10680	[0, 10]
L10683	[0, 3]
L10687	[0, 2]
L10689	[0, 6]
L10690	[0, 18]
L10692	[0, 9]
L10696	[0, 6]
L10705	[0, 2]
L10706	[0, 4]
L10707	[0, 2]
L10709	[0, 2]
L10713	[0, 6]
L10714	[0, 4]
L10716	[0, 2]
L10718	[0, 12]
L10720	[0, 4]
L10722	[0, 2]
L10725	[0, 4]
L10728	[0, 2]
L10730	[0, 6]
L10734	[0, 4]
L10736	[0, 4]
L10739	[0, 5]
L10741	[0, 3]
L10744	[0, 4]
L10747	[0, 5]
L10748	[0, 3]
L10751	[0, 1]
L10754	[0, 7]
L10755	[0, 2]
L10761	[0, 8]
L10764	[0, 4]
L10766	[0, 5]
L10768	[0, 2]
L10771	[0, 4]
L10772	[0, 2]
L10776	[0, 2]
L10777	[0, 16]
L10778	[0, 8]
L10780	[0, 12]
L10783	[0, 4]
L10784	[0, 3]
L10787	[0, 11]
L10788	[0, 8]
L10791	[0, 4]
L10796	[0, 28]
L10798	[0, 3]
L10801	[0, 3]
L10803	[0, 2]
L10808	[0, 5]
L10810	[0, 4]
L10811	[0, 6]
L10816	[0, 4]
L10818	[0, 3]
L10819	[0, 2]
L10823	[0, 27]
L10824	[0, 3]
L10827	[0, 1]
L10828	[0, 18]
L10831	[0, 1]
L10833	[0, 20]
L10835	[0, 6]
L10836	[0, 2]
L10839	[0, 16]
L10841	[0, 12]
L10842	[0, 4]
L10847	[0, 4]
L10848	[0, 6]
L10854	[0, 4]
L10855	[0, 2]
L10856	[0, 32]
L10859	[0, 2]
L10861	[0, 6]
L10864	[0, 7]
L10872	[0, 3]
L10874	[0, 6]
L10878	[0, 2]
L10879	[0, 7]
L10884	[0, 7]
L10890	[0, 2]
L10891	[0, 4]
L10893	[0, 3]
L10894	[0, 5]
L10896	[0, 7]
L10902	[0, 6]
L10905	[0, 8]
L10907	[0, 3]
L10909	[0, 2]
L10912	[0, 8]
L10915	[0, 4]
L10916	[0, 3]
L10920	[0, 12]
L10923	[0, 8]
L10924	[0, 5]
L10927	[0, 3]
L10928	[0, 6]
L10933	[0, 1]
L10934	[0, 4]
L10938	[0, 2]
L10941	[0, 6]
L10946	[0, 1]
L10947	[0, 2]
L10950	[0, 2]
L10951	[0, 1]
L10954	[0, 3]
L10958	[0, 7]
L10961	[0, 6]
L10963	[0, 2]
L10966	[0, 2]
L10968	[0, 2]
L10971	[0, 4]
L10974	[0, 9]
L10975	[0, 5]
L10978	[0, 4]
L10979	[0, 9]
L10982	[0, 1]
L10985	[0, 3]
L10986	[0, 4]
L10990	[0, 2]
L10991	[0, 12]
L10994	[0, 5]
L10996	[0, 1]
L11001	[0, 6]
L11003	[0, 2]
L11007	[0, 6]
L11010	[0, 5]
L11011	[0, 4]
L11014	[0, 1]
L11015	[0, 6]
L11017	[0, 2]
L11022	[0, 9]
L11024	[0, 5]
L11026	[0, 3]
L11027	[0, 2]
L11031	[0, 5]
L11033	[0, 2]
L11037	[0, 2]
L11038	[0, 10]
L11042	[0, 3]
L11044	[0, 4]
L11045	[0, 4]
L11046	[0, 4]
L11049	[0, 6]
L11050	[0, 1]
L11053	[0, 4]
L11054	[0, 7]
L11056	[0, 2]
L11061	[0, 8]
L11067	[0, 4]
L11071	[0, 2]
L11076	[0, 2]
L11081	[0, 3]
L11083	[0, 4]
L11085	[0, 3]
L11086	[0, 4]
L11089	[0, 5]
L11091	[0, 4]
L11098	[0, 1]
L11102	[0, 12]
L11106	[0, 4]
L11107	[0, 8]
L11108	[0, 18]
L11111	[0, 6]
L11112	[0, 2]
L11115	[0, 20]
L11116	[0, 2]
L11122	[0, 1]
L11123	[0, 6]
L11125	[0, 2]
L11130	[0, 6]
L11132	[0, 2]
L11133	[0, 2]
L11136	[0, 2]
L11141	[0, 12]
L11142	[0, 12]
L11143	[0, 4]
L11147	[0, 6]
L11148	[0, 5]
L11151	[0, 4]
L11153	[0, 1]
L11156	[0, 2]
L11158	[0, 1]
L11159	[0, 6]
L11163	[0, 8]
L11168	[0, 3]
L11172	[0, 9]
L11173	[0, 4]
L11178	[0, 2]
L11182	[0, 2]
L11184	[0, 2]
L11190	[0, 1]
L11193	[0, 4]
L11194	[0, 4]
L11195	[0, 2]
L11197	[0, 3]
L11199	[0, 7]
L11201	[0, 4]
L11204	[0, 3]
L11206	[0, 7]
L11208	[0, 10]
L11211	[0, 8]
L11213	[0, 3]
L11215	[0, 4]
L11217	[0, 7]
L11221	[0, 2]
L11224	[0, 6]
L11226	[0, 6]
L11227	[0, 2]
L11232	[0, 10]
L11234	[0, 5]
L11235	[0, 12]
L11238	[0, 8]
L11239	[0, 5]
L11242	[0, 3]
L11244	[0, 2]
L11247	[0, 3]
L11249	[0, 1]
L11251	[0, 2]
L11252	[0, 2]
L11255	[0, 1]
L11256	[0, 2]
L11259	[0, 2]
L11262	[0, 1]
L11263	[0, 4]
L11266	[0, 2]
L11268	[0, 5]
L11269	[0, 4]
L11273	[0, 3]
L11275	[0, 3]
L11280	[0, 4]
L11281	[0, 3]
L11284	[0, 3]
L11287	[0, 4]
L11289	[0, 8]
L11291	[0, 4]
L11294	[0, 7]
L11296	[0, 5]
L11298	[0, 2]
L11302	[0, 3]
L11304	[0, 8]
L11306	[0, 13]
L11309	[0, 6]
L11311	[0, 6]
L11313	[0, 6]
L11316	[0, 3]
L11318	[0, 8]
L11319	[0, 4]
L11322	[0, 7]
L11325	[0, 4]
L11326	[0, 2]
L11333	[0, 4]
L11336	[0, 7]
L11337	[0, 2]
L11341	[0, 4]
L11343	[0, 16]
L11347	[0, 3]
L11351	[0, 2]
L11352	[0, 6]
L11354	[0, 2]
L11355	[0, 2]
L11357	[0, 3]
L11358	[0, 6]
L11364	[0, 3]
L11366	[0, 7]
L11367	[0, 2]
L11371	[0, 1]
L11372	[0, 3]
L11373	[0, 2]
L11380	[0, 1]
L11384	[0, 7]
L11387	[0, 5]
L11389	[0, 20]
L11391	[0, 2]
L11392	[0, 3]
L11396	[0, 2]
L11398	[0, 4]
L11402	[0, 4]
L11403	[0, 6]
L11406	[0, 6]
L11407	[0, 3]
L11411	[0, 4]
L11415	[0, 3]
L11416	[0, 2]
L11420	[0, 1]
L11424	[0, 2]
L11431	[0, 2]
L11433	[0, 1]
L11437	[0, 1]
L11441	[0, 9]
L11443	[0, 4]
L11445	[0, 8]
L11447	[0, 4]
L11449	[0, 1]
L11451	[0, 5]
L11454	[0, 5]
L11456	[0, 2]
L11458	[0, 18]
L11460	[0, 2]
L11464	[0, 4]
L11466	[0, 9]
L11470	[0, 2]
L11475	[0, 2]
L11477	[0, 2]
L11482	[0, 2]
L11484	[0, 4]
L11486	[0, 4]
L11489	[0, 3]
L11491	[0, 2]
L11493	[0, 4]
L11496	[0, 6]
L11498	[0, 4]
L11502	[0, 4]
L11505	[0, 2]
L11506	[0, 2]
L11509	[0, 4]
L11517	[0, 8]
L11518	[0, 5]
L11520	[0, 41]
L11524	[0, 6]
L11528	[0, 2]
L11530	[0, 3]
L11531	[0, 3]
L11532	[0, 8]
L11536	[0, 2]
L11538	[0, 8]
L11542	[0, 2]
L11546	[0, 4]
L11549	[0, 1]
L11550	[0, 3]
L11553	[0, 4]
L11554	[0, 3]
L11556	[0, 18]
L11557	[0, 5]
L11561	[0, 8]
L11565	[0, 18]
L11566	[0, 7]
L11570	[0, 3]
L11571	[0, 6]
L11572	[0, 3]
L11576	[0, 2]
L11580	[0, 17]
L11581	[0, 5]
L11585	[0, 9]
L11587	[0, 6]
L11588	[0, 2]
L11591	[0, 3]
L11595	[0, 18]
L11598	[0, 9]
L11600	[0, 1]
L11601	[0, 4]
L11604	[0, 21]
L11607	[0, 2]
L11609	[0, 6]
L11610	[0, 1]
L11616	[0, 3]
L11619	[0, 12]
L11624	[0, 14]
L11626	[0, 2]
L11630	[0, 12]
L11631	[0, 4]
L11636	[0, 3]
L11638	[0, 2]
L11643	[0, 2]
L11645	[0, 2]
L11647	[0, 6]
L11652	[0, 4]
L11654	[0, 3]
L11658	[0, 6]
L11662	[0, 4]
L11664	[0, 4]
L11666	[0, 3]
L11669	[0, 2]
L11671	[0, 3]
L11672	[0, 2]
L11673	[0, 3]
L11676	[0, 6]
L11678	[0, 10]
L11682	[0, 4]
L11683	[0, 2]
L11688	[0, 7]
L11691	[0, 3]
L11695	[0, 17]
L11701	[0, 2]
L11702	[0, 6]
L11707	[0, 1]
L11708	[0, 1]
L11709	[0, 2]
L11712	[0, 6]
L11716	[0, 2]
L11717	[0, 4]
L11718	[0, 1]
L11721	[0, 5]
L11723	[0, 4]
L11726	[0, 15]
L11729	[0, 3]
L11732	[0, 4]
L11737	[0, 4]
L11739	[0, 2]
L11741	[0, 5]
L11744	[0, 8]
L11746	[0, 2]
L11748	[0, 16]
L11751	[0, 4]
L11752	[0, 6]
L11758	[0, 9]
L11759	[0, 9]
L11760	[0, 10]
L11763	[0, 2]
L11764	[0, 2]
L11767	[0, 5]
L11769	[0, 10]
L11771	[0, 12]
L11774	[0, 6]
L11776	[0, 2]
L11778	[0, 4]
L11782	[0, 14]
L11786	[0, 9]
L11788	[0, 16]
L11790	[0, 8]
L11792	[0, 4]
L11794	[0, 2]
L11797	[0, 12]
L11799	[0, 8]
L11801	[0, 4]
L11805	[0, 6]
L11806	[0, 4]
L11808	[0, 10]
L11811	[0, 3]
L11814	[0, 2]
L11818	[0, 2]
L11819	[0, 5]
L11821	[0, 2]
L11823	[0, 12]
L11825	[0, 6]
L11829	[0, 3]
L11831	[0, 7]
L11832	[0, 3]
L11836	[0, 3]
L11838	[0, 4]
L11840	[0, 9]
L11845	[0, 2]
L11846	[0, 4]
L11847	[0, 4]
L11853	[0, 2]
L11854	[0, 2]
L11856	[0, 8]
L11858	[0, 8]
L11859	[0, 6]
L11862	[0, 10]
L11866	[0, 2]
L11869	[0, 3]
L11871	[0, 2]
L11873	[0, 2]
L11874	[0, 3]
L11877	[0, 8]
L11881	[0, 5]
L11884	[0, 1]
L11887	[0, 1]
L11889	[0, 1]
L11891	[0, 3]
L11894	[0, 3]
L11896	[0, 12]
L11898	[0, 11]
L11902	[0, 4]
L11905	[0, 6]
L11906	[0, 6]
L11909	[0, 3]
L11913	[0, 4]
L11915	[0, 3]
L11920	[0, 2]
L11927	[0, 19]
L11928	[0, 24]
L11929	[0, 20]
L11933	[0, 1]
L11935	[0, 4]
L11937	[0, 5]
L11942	[0, 2]
L11943	[0, 2]
L11945	[0, 3]
L11946	[0, 4]
L11947	[0, 4]
L11952	[0, 3]
L11954	[0, 11]
L11955	[0, 6]
L11958	[0, 5]
L11959	[0, 6]
L11964	[0, 5]
L11966	[0, 2]
L11967	[0, 2]
L11971	[0, 6]
L11973	[0, 6]
L11975	[0, 4]
L11976	[0, 1]
L11978	[0, 3]
L11981	[0, 2]
L11984	[0, 3]
L11985	[0, 2]
L11988	[0, 2]
L11993	[0, 6]
L11995	[0, 3]
L11996	[0, 6]
L12002	[0, 9]
L12004	[0, 1]
L12006	[0, 2]
L12008	[0, 3]
L12010	[0, 3]
L12012	[0, 2]
L12015	[0, 6]
L12018	[0, 2]
L12020	[0, 2]
L12022	[0, 4]
L12024	[0, 3]
L12026	[0, 2]
L12029	[0, 7]
L12031	[0, 4]
L12033	[0, 4]
L12035	[0, 1]
L12036	[0, 4]
L12038	[0, 11]
L12042	[0, 4]
L12043	[0, 2]
L12046	[0, 2]
L12050	[0, 2]
L12055	[0, 8]
L12056	[0, 3]
L12062	[0, 4]
L12064	[0, 3]
L12067	[0, 6]
L12070	[0, 4]
L12071	[0, 9]
L12074	[0, 15]
L12076	[0, 10]
L12077	[0, 10]
L12082	[0, 2]
L12084	[0, 4]
L12086	[0, 3]
L12090	[0, 3]
L12091	[0, 2]
L12093	[0, 6]
L12096	[0, 4]
L12099	[0, 7]
L12103	[0, 8]
L12105	[0, 8]
L12109	[0, 4]
L12112	[0, 4]
L12114	[0, 5]
L12116	[0, 6]
L12119	[0, 2]
L12121	[0, 4]
L12123	[0, 5]
L12127	[0, 2]
L12128	[0, 3]
L12131	[0, 2]
L12133	[0, 3]
L12134	[0, 5]
L12136	[0, 3]
L12137	[0, 2]
L12144	[0, 9]
L12147	[0, 3]
L12151	[0, 2]
L12154	[0, 5]
L12156	[0, 4]
L12157	[0, 6]
L12162	[0, 6]
L12164	[0, 5]
L12165	[0, 5]
L12168	[0, 5]
L12169	[0, 3]
L12172	[0, 4]
L12173	[0, 3]
L12175	[0, 1]
L12180	[0, 2]
L12182	[0, 4]
L12183	[0, 3]
L12186	[0, 4]
L12190	[0, 6]
L12192	[0, 2]
L12195	[0, 3]
L12198	[0, 7]
L12199	[0, 4]
L12201	[0, 2]
L12205	[0, 2]
L12207	[0, 5]
L12210	[0, 3]
L12212	[0, 3]
L12215	[0, 1]
L12217	[0, 6]
L12220	[0, 8]
L12221	[0, 6]
L12224	[0, 10]
L12226	[0, 2]
L12228	[0, 3]
L12232	[0, 4]
L12235	[0, 5]
L12238	[0, 2]
L12239	[0, 16]
L12243	[0, 6]
L12245	[0, 8]
L12247	[0, 2]
L12248	[0, 3]
L12250	[0, 3]
L12255	[0, 2]
L12257	[0, 3]
L12258	[0, 2]
L12262	[0, 4]
L12265	[0, 5]
L12266	[0, 4]
L12268	[0, 6]
L12271	[0, 2]
L12273	[0, 9]
L12277	[0, 4]
L12283	[0, 6]
L12284	[0, 4]
L12285	[0, 2]
L12286	[0, 5]
L12288	[0, 10]
L12291	[0, 7]
L12293	[0, 4]
L12294	[0, 6]
L12297	[0, 5]
L12301	[0, 4]
L12304	[0, 9]
L12306	[0, 1]
L12308	[0, 1]
L12311	[0, 4]
L12314	[0, 5]
L12315	[0, 2]
L12318	[0, 1]
L12321	[0, 9]
L12323	[0, 5]
L12326	[0, 3]
L12329	[0, 2]
L12332	[0, 4]
L12336	[0, 2]
L12338	[0, 3]
L12341	[0, 2]
L12344	[0, 1]
L12345	[0, 4]
L12348	[0, 5]
L12351	[0, 7]
L12352	[0, 5]
L12357	[0, 5]
L12359	[0, 6]
L12360	[0, 6]
L12361	[0, 7]
L12364	[0, 6]
L12366	[0, 7]
L12369	[0, 5]
L12373	[0, 4]
L12374	[0, 2]
L12379	[0, 4]
L12381	[0, 3]
L12382	[0, 7]
L12384	[0, 6]
L12386	[0, 1]
L12389	[0, 8]
L12391	[0, 6]
L12393	[0, 5]
L12396	[0, 1]
L12400	[0, 3]
L12402	[0, 1]
L12405	[0, 5]
L12407	[0, 2]
L12410	[0, 4]
L12413	[0, 1]
L12415	[0, 3]
L12417	[0, 3]
L12420	[0, 2]
L12421	[0, 3]
L12425	[0, 2]
L12426	[0, 4]
L12428	[0, 5]
L12429	[0, 5]
L12432	[0, 6]
L12436	[0, 4]
L12439	[0, 8]
L12444	[0, 3]
L12446	[0, 2]
L12449	[0, 3]
L12451	[0, 2]
L12454	[0, 2]
L12457	[0, 6]
L12460	[0, 3]
L12464	[0, 4]
L12466	[0, 9]
L12468	[0, 10]
L12472	[0, 3]
L12473	[0, 4]
L12476	[0, 2]
L12478	[0, 5]
L12479	[0, 3]
L12481	[0, 2]
L12482	[0, 6]
L12486	[0, 4]
L12490	[0, 2]
L12492	[0, 9]
L12495	[0, 5]
L12497	[0, 1]
L12500	[0, 4]
L12502	[0, 6]
L12506	[0, 8]
L12508	[0, 3]
L12510	[0, 6]
L12512	[0, 4]
L12517	[0, 2]
L12518	[0, 3]
L12520	[0, 4]
L12525	[0, 3]
L12527	[0, 2]
L12528	[0, 4]
L12532	[0, 4]
L12533	[0, 2]
L12536	[0, 4]
L12538	[0, 2]
L12539	[0, 2]
L12541	[0, 2]
L12542	[0, 2]
L12546	[0, 4]
L12548	[0, 4]
L12550	[0, 4]
L12552	[0, 2]
L12554	[0, 2]
L12555	[0, 1]
L12560	[0, 4]
L12561	[0, 2]
L12563	[0, 1]
L12566	[0, 6]
L12569	[0, 4]
L12570	[0, 3]
L12573	[0, 4]
L12576	[0, 4]
L12580	[0, 2]
L12582	[0, 3]
L12585	[0, 2]
L12587	[0, 2]
L12590	[0, 1]
L12591	[0, 1]
L12597	[0, 11]
L12598	[0, 4]
L12601	[0, 3]
L12602	[0, 3]
L12606	[0, 4]
L12607	[0, 6]
L12612	[0, 4]
L12614	[0, 4]
L12615	[0, 3]
L12618	[0, 2]
L12619	[0, 2]
L12622	[0, 4]
L12623	[0, 3]
L12625	[0, 4]
L12630	[0, 4]
L12632	[0, 2]
L12633	[0, 2]
L12637	[0, 4]
L12643	[0, 3]
L12644	[0, 12]
L12647	[0, 8]
L12648	[0, 10]
L12650	[0, 5]
L12652	[0, 2]
L12653	[0, 2]
L12656	[0, 1]
L12658	[0, 2]
L12659	[0, 3]
L12661	[0, 3]
L12662	[0, 4]
L12667	[0, 6]
L12670	[0, 3]
L12671	[0, 2]
L12674	[0, 3]
L12676	[0, 6]
L12678	[0, 4]
L12683	[0, 4]
L12687	[0, 21]
L12689	[0, 6]
L12690	[0, 12]
L12693	[0, 3]
L12696	[0, 6]
L12698	[0, 2]
L12699	[0, 3]
L12702	[0, 2]
L12707	[0, 5]
L12709	[0, 2]
L12712	[0, 2]
L12713	[0, 1]
L12715	[0, 4]
L12720	[0, 5]
L12722	[0, 2]
L12723	[0, 3]
L12726	[0, 19]
L12728	[0, 14]
L12731	[0, 5]
L12732	[0, 2]
L12734	[0, 2]
L12736	[0, 9]
L12738	[0, 4]
L12743	[0, 5]
L12745	[0, 2]
L12746	[0, 2]
L12750	[0, 2]
L12752	[0, 4]
L12753	[0, 2]
L12756	[0, 4]
L12757	[0, 2]
L12762	[0, 8]
L12764	[0, 2]
L12765	[0, 2]
L12768	[0, 5]
L12769	[0, 2]
